employment_rate_overall,employment_rate_ft_perm,gross_monthly_median,salary_iqr,year,university,school,degree,career_value_index,cluster,pca_1,pca_2
100.0,100.0,4050.0,400.0,2017,National University of Singapore,Faculty Of Dentistry,Bachelor of Dental Surgery,0.8478584817709367,2,1.3361312521072133,-1.4644946668622794
90.6,81.3,3300.0,700.0,2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Biomedical Engineering),0.6756575043760185,2,-0.46732361531833555,-0.45295250394019626
87.8,81.3,3600.0,700.0,2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Chemical Engineering),0.6713305812990955,2,-0.49559225018720865,-0.0810610652154754
95.5,90.9,3300.0,565.0,2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Civil Engineering),0.7455567811733548,2,0.22788210069807058,-1.1995849775264689
89.4,86.5,3600.0,600.0,2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Electrical Engineering),0.7028265496403895,2,-0.22195975952793806,-0.456799401421548
76.5,64.7,3675.0,760.0,2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Engineering Science),0.5396098334524095,3,-1.9966218279875738,1.1918054255677513
86.3,71.2,3350.0,800.0,2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Environmental Engineering),0.611332166235912,3,-1.1278171954000882,0.25118622798366913
93.3,89.9,3875.0,750.0,2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Industrial and Systems Engineering),0.7501977853970062,2,0.5148214958258217,-0.39962152705667076
94.0,86.0,3388.0,750.0,2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Materials Science And Engineering),0.7178195484793147,2,0.09183988104538282,-0.6602526404912452
87.3,82.3,3450.0,900.0,2017,National University of Singapore,Faculty Of Engineering,Bachelor of Engineering (Mechanical Engineering),0.6591141144063445,3,-0.4499730232422116,0.1115044744179987
95.8,92.3,5000.0,1100.0,2017,National University of Singapore,Faculty of Law,Bachelor of Laws #,0.8204015247623654,1,1.7913902076616903,0.6063616215996571
82.1,50.0,3085.0,400.0,2017,National University of Singapore,Faculty of Science,Bachelor of Applied Science (Hons),0.5065690080445463,3,-2.800411522013165,0.31871968993809957
76.9,54.5,3082.0,600.0,2017,National University of Singapore,Faculty of Science,Bachelor of Science,0.48219867656538984,3,-2.887844959201004,0.815174714980883
85.9,69.3,3300.0,700.0,2017,National University of Singapore,Faculty of Science,Bachelor of Science (Hons),0.6021772889234431,3,-1.3419140189836911,0.1507485872496304
99.1,94.5,3600.0,300.0,2017,National University of Singapore,Faculty of Science,Bachelor of Science (Pharmacy) #,0.803522520591926,2,0.672453601228017,-1.70077635997946
94.9,87.3,3500.0,1333.0,2017,National University of Singapore,NUS Business School,Bachelor of Business Administration,0.7187481856037147,2,0.7018768094571531,0.14890013206692465
98.2,93.6,3800.0,1332.0,2017,National University of Singapore,NUS Business School,Bachelor of Business Administration (Hons),0.7773489389129882,1,1.4214125366462396,-0.027743361299940157
97.2,94.4,3025.0,600.0,2017,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy),0.7550690708298184,2,0.3553545180283592,-1.525154090032493
100.0,100.0,3125.0,1023.0,2017,National University of Singapore,NUS Business School,Bachelor of Business Administration (Accountancy) (Hons),0.7873223459753242,2,1.1752702689458725,-1.180668960873394
93.5,89.4,4285.0,1344.0,2017,National University of Singapore,School of Computing,Bachelor of Computing (Computer Science),0.7541811440566161,1,1.195300732453469,0.7085406459216705
94.5,91.8,4000.0,1042.0,2017,National University of Singapore,School of Computing,Bachelor of Computing (Information Systems),0.7633645691243598,2,0.9768363523714729,-0.02899509623693086
97.6,97.6,4000.0,1266.0,2017,National University of Singapore,School of Computing,Bachelor of Science (Business Analytics),0.7986507083079057,1,1.6236215631311135,-0.055630513877798896
91.3,86.4,4000.0,520.0,2017,National University of Singapore,School of Design & Environment,Bachelor of Arts (Architecture) #,0.7364933938442438,2,0.12844981192920088,-0.42879515820285563
93.3,60.0,2920.0,600.0,2017,National University of Singapore,School of Design & Environment,Bachelor of Arts (Industrial Design),0.6034848524665014,3,-1.4574007285166972,-0.46922394670480655
90.8,81.7,3000.0,400.0,2017,National University of Singapore,School of Design & Environment,Bachelor of Science (Project and Facilities Management),0.6717098929035613,2,-0.8412075867230707,-1.0957026870926199
93.8,88.7,3000.0,500.0,2017,National University of Singapore,School of Design & Environment,Bachelor of Science (Real Estate),0.7137246138438142,2,-0.23987847305235052,-1.3224270128253257
100.0,100.0,5000.0,805.0,2017,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Medicine And Bachelor Of Surgery #,0.8830880311024715,1,2.2387194888916433,-0.27436982154814515
97.4,97.4,3400.0,250.0,2017,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing),0.7939642237477884,2,0.49278993366936463,-1.867525896156428
91.8,89.8,3500.0,350.0,2017,National University of Singapore,Yong Loo Lin School (Medicine),Bachelor of Science (Nursing) (Hons),0.7320888331951002,2,-0.1345851098120826,-1.1123270278978317
73.3,26.7,2225.0,900.0,2017,National University of Singapore,YST Conservatory Of Music,Bachelor of Music,0.3118374448973237,3,-4.678086788739352,1.621801298879473
93.5,76.6,3500.0,925.0,2017,National University of Singapore,Yale-NUS College,Bachelor of Arts with Honours,0.6824378299517799,2,-0.14360018000725167,-0.06820142424713689
91.7,75.0,4083.0,1275.0,2017,National University of Singapore,Yale-NUS College,Bachelor of Science with Honours,0.6837869004300171,1,0.2718314545536302,0.9608726158837988
89.4,84.7,3900.0,912.0,2017,National University of Singapore,Multi-Disciplinary Programmes,Bachelor of Engineering (Computer Engineering),0.7029031921697678,2,0.11796667810630497,0.22598081607826018
88.7,62.3,3300.0,600.0,2017,National University of Singapore,Multi-Disciplinary Programmes,Bachelor of Environmental Studies,0.5990018536974758,3,-1.4812387859285552,0.009955183237832831
98.0,96.6,3000.0,680.0,2017,Singapore Management University,School of Accountancy (4-years programme) *,Accountancy,0.7648626551268681,2,0.5510121933710982,-1.5346876898898938
97.8,97.8,3200.0,1645.0,2017,Singapore Management University,School of Accountancy (4-years programme) *,Accountancy Cum Laude and above,0.7524554933401146,1,1.3959822880841282,-0.0545488130153324
93.3,85.7,3500.0,1312.0,2017,Singapore Management University,School of Business (4-years programme) *,Business Management,0.7029744826460015,2,0.4929125360402794,0.2612901666792597
95.8,92.0,4000.0,1700.0,2017,Singapore Management University,School of Business (4-years programme) *,Business Management Cum Laude and above,0.7558025339280605,1,1.5531001210194404,0.8166022682676368
91.3,82.6,3700.0,1283.0,2017,Singapore Management University,School of Economics (4-years programme) *,Economics,0.6890930096322866,2,0.3137593571803388,0.5555636167584774
93.2,90.5,4100.0,1513.0,2017,Singapore Management University,School of Economics (4-years programme) *,Economics Cum Laude and above,0.7427707100378065,1,1.216418797623365,0.8192368284698854
95.1,91.3,4000.0,950.0,2017,Singapore Management University,School of Information Systems (4-years programme) *,Information Systems Management,0.7680044914369233,2,0.938860212839998,-0.18472861423472706
96.1,94.1,4334.0,750.0,2017,Singapore Management University,School of Information Systems (4-years programme) *,Information Systems Management Cum Laude and above,0.8057175434977152,2,1.210925684697584,-0.3865659270484857
91.3,78.0,3300.0,750.0,2017,Singapore Management University,School of Social Sciences (4-years programme) *,Social Sciences,0.6675037546611142,2,-0.5138347528475085,-0.34228773290655395
87.9,81.8,3630.0,700.0,2017,Singapore Management University,School of Social Sciences (4-years programme) *,Social Sciences Cum Laude and above,0.6751928235638319,2,-0.447307881247462,-0.08069587748073158
97.6,94.0,5000.0,1840.0,2017,Singapore Management University,School of Law (4-years programme) *,Law #,0.8193240869914493,1,2.5278782342843362,1.4983200522186715
97.9,97.9,5600.0,1800.0,2017,Singapore Management University,School of Law (4-years programme) *,Law Cum Laude and above #,0.8648629043034757,1,3.0756489246685543,1.7121144750730635
96.2,92.3,3000.0,400.0,2017,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Arts in Game Design ^,0.7449767915533363,2,0.030784412289852688,-1.7080727830397933
88.5,69.2,2875.0,300.0,2017,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Fine Arts in Digital Arts & Animation ^,0.6091198477105482,3,-1.697192669424379,-0.8541654438511157
100.0,100.0,3250.0,700.0,2017,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science & Game Design ^,0.8016609969452929,2,1.0284708571141332,-1.557666992460625
96.9,90.6,3800.0,582.0,2017,Singapore Institute of Technology,DigiPen Institute of Technology,Bachelor of Science in Computer Science in Real-Time Interactive Simulation,0.7774816973886789,2,0.6635059575872646,-0.9324272100078411
90.7,68.5,2700.0,700.0,2017,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Communication Design,0.602673525475689,3,-1.3824486581236208,-0.521949856222388
92.3,87.2,2700.0,500.0,2017,Singapore Institute of Technology,The Glasgow School of Art,Bachelor of Arts with Honours in Interior Design,0.6840060189177368,2,-0.6166562485071195,-1.3836127855519271
77.3,62.1,3255.0,625.0,2017,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Chemical Engineering,0.5191543275616055,3,-2.4092248802092926,0.7436963300032685
94.4,88.9,3200.0,450.0,2017,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Electrical Power Engineering,0.7293472966821879,2,-0.08918962874789726,-1.306800098172883
96.2,88.5,3500.0,1000.0,2017,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Marine Engineering ^,0.7402411433274146,2,0.6204401823259007,-0.4362702459122916
90.5,85.7,3000.0,550.0,2017,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Mechanical Design & Manufacturing Engineering,0.6798353248723672,2,-0.5925081087043229,-0.9659488635157407
95.5,95.5,3300.0,300.0,2017,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Naval Architecture ^,0.7684928842422778,2,0.2326083005092728,-1.6926214101226291
100.0,86.7,3300.0,650.0,2017,Singapore Institute of Technology,Newcastle University,Bachelor of Engineering with Honours in Offshore Engineering ^,0.7587964078665522,2,0.47124865780902275,-1.25713492070872
97.7,79.1,2700.0,725.0,2017,Singapore Institute of Technology,Newcastle University,Bachelor of Science with Honours in Food & Human Nutrition,0.686010047642741,2,-0.3653637845547918,-1.200253161403969
84.5,74.1,3200.0,375.0,2017,Singapore Institute of Technology,Technische UniversitÃ¤t MÃ¼nchen,Bachelor of Science in Chemical Engineering,0.6131780056436092,3,-1.547636124714554,-0.4085801623220895
82.8,82.8,3400.0,1000.0,2017,Singapore Institute of Technology,Technische UniversitÃ¤t MÃ¼nchen,Bachelor of Science in Electrical Engineering & Information Technology,0.6257479826083203,3,-0.7494704154367499,0.49329478616416766
87.9,54.5,2300.0,1059.0,2017,Singapore Institute of Technology,The Culinary Institute of America,Bachelor of Professional Studies in Culinary Arts Management,0.5064272390678694,3,-2.1953921156361624,0.26212246016371044
100.0,97.1,3300.0,430.0,2017,Singapore Institute of Technology,Singapore Institute of Technology -Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Occupational Therapy),0.8008755028781757,2,0.7494999695322087,-1.8342039841627429
100.0,96.8,3400.0,200.0,2017,Singapore Institute of Technology,Singapore Institute of Technology -Trinity College Dublin / Trinity College Dublin,Bachelor in Science (Physiotherapy),0.810563912369177,2,0.6395981527347223,-2.0878829574398576
81.3,65.6,3200.0,750.0,2017,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aeronautical Engineering,0.5523245421000463,3,-1.8921977767829115,0.5426216629688491
80.0,52.5,3125.0,1025.0,2017,Singapore Institute of Technology,University of Glasgow,Bachelor of Engineering with Honours in Aerospace Systems,0.48706448861883345,3,-2.3964249978430274,1.3002644259066096
