Category,File Name,File Path,File Extension,File Size KB,Modified Time
Tables,eda_top_schools_by_records.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_top_schools_by_records.csv,.csv,1.16,2026-08-03 21:53:49
Tables,eda_univariate_career_value_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_univariate_career_value_summary.csv,.csv,0.59,2026-08-03 21:53:56
Tables,eda_univariate_employment_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_univariate_employment_summary.csv,.csv,0.66,2026-08-03 21:53:56
Tables,eda_univariate_insight_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_univariate_insight_summary.csv,.csv,0.96,2026-08-03 21:53:56
Tables,eda_univariate_salary_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_univariate_salary_summary.csv,.csv,1.27,2026-08-03 21:53:56
Tables,eda_univariate_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/eda_univariate_summary.csv,.csv,2.16,2026-08-03 21:53:52
Tables,feature_engineering_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/feature_engineering_summary.csv,.csv,0.6,2026-08-03 21:53:41
Tables,feature_missing_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/feature_missing_summary.csv,.csv,0.17,2026-08-03 21:53:41
Tables,final_analysis_evidence_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/final_analysis_evidence_summary.csv,.csv,0.98,2026-08-03 21:54:57
Tables,final_export_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/final_export_summary.csv,.csv,1.24,2026-07-26 16:32:12
Tables,final_key_numerical_findings.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/final_key_numerical_findings.csv,.csv,0.45,2026-08-03 21:54:57
Tables,final_limitations_and_next_steps.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/final_limitations_and_next_steps.csv,.csv,1.04,2026-08-03 21:54:57
Tables,final_output_file_inventory.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/final_output_file_inventory.csv,.csv,36.87,2026-07-26 16:32:12
Tables,final_research_question_results.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/final_research_question_results.csv,.csv,3.44,2026-08-03 21:54:57
Tables,initial_data_type_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/initial_data_type_summary.csv,.csv,0.48,2026-08-03 21:53:32
Tables,interim_eda_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/interim_eda_summary.csv,.csv,1.68,2026-08-03 21:54:33
Tables,leakage_controlled_best_models.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/leakage_controlled_best_models.csv,.csv,1.5,2026-07-26 14:40:15
Tables,leakage_controlled_classification_performance.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/leakage_controlled_classification_performance.csv,.csv,4.78,2026-07-26 14:40:15
Tables,leakage_controlled_confusion_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/leakage_controlled_confusion_summary.csv,.csv,2.0,2026-07-26 14:40:15
Tables,leakage_controlled_target_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/leakage_controlled_target_summary.csv,.csv,0.37,2026-07-26 14:40:13
Tables,missing_after_type_conversion.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/missing_after_type_conversion.csv,.csv,0.45,2026-08-03 21:53:35
Tables,missing_by_university.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/missing_by_university.csv,.csv,0.35,2026-08-03 21:53:38
Tables,missing_by_year.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/missing_by_year.csv,.csv,0.26,2026-08-03 21:53:38
Tables,missing_pattern_summary.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/missing_pattern_summary.csv,.csv,0.23,2026-08-03 21:53:38
Tables,multivariate_correlation_matrix.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/multivariate_correlation_matrix.csv,.csv,2.59,2026-08-03 21:54:01
Tables,non_numeric_value_check.csv,/home/kumarans/MS_AIML/Term1/DEEP_LEARNING_THEORY_PRACTICAL_ APPLICATIONS/MS_Capstone+NLP/QM 640_DATA_ANALYTICS_CAPSTONE/Code/outputs/tables/non_numeric_value_check.csv,.csv,0.49,2026-08-03 21:53:35
